Time;Atm_pressure;Temperature;Humidity
2017-05-12 11:45;1005.45001221;16.70000076;84.68000031
2017-05-12 12:00;1005.29998779;17.28000069;80.75
2017-05-12 12:15;1005.22998047;17.10000038;82
2017-05-12 12:30;1005.22998047;17.28000069;82.18000031
2017-05-12 12:45;1005.45001221;17.75;78.84999847
2017-05-12 13:00;1005.29998779;17.57999992;76.16999817
2017-05-12 13:15;1005.15002441;17.75;75
2017-05-12 13:30;1005.29998779;18.04999924;72.75
2017-05-12 13:45;1005.29998779;18.35000038;70.81999969
2017-05-12 14:00;1005.5300293;18.27000046;72.31999969
2017-05-12 14:15;1005.59997559;17.87000084;72.31999969
2017-05-12 14:30;1005.83001709;17.39999962;75.44999695
2017-05-12 14:45;1005.75;17;76.5
2017-05-12 15:00;1005.75;16.85000038;77.37000275
2017-05-12 15:15;1005.75;16.81999969;77.94999695
2017-05-12 15:30;1005.75;16.64999962;78.44999695
2017-05-12 15:45;1005.83001709;16.60000038;78.34999847
2017-05-12 16:00;1005.90002441;16.54999924;79.05000305
2017-05-12 16:15;1006.11999512;16.70000076;77.27999878
2017-05-12 16:30;1005.90002441;16.70000076;77.30000305
2017-05-12 16:45;1005.90002441;16.75;75.93000031
2017-05-12 17:00;1006.04998779;16.60000038;76.34999847
2017-05-12 17:15;1006.04998779;16.70000076;77.19999695
2017-05-12 17:30;1006.11999512;16.43000031;78.08000183
2017-05-12 17:45;1006.58001709;15.97000027;78.84999847
2017-05-12 18:00;1006.86999512;15.64999962;80.37999725
2017-05-12 18:15;1006.72998047;15.39999962;81.23000336
2017-05-12 18:30;1006.95001221;15.06999969;82.26999664
2017-05-12 18:45;1007.25;14.63000011;84.52999878
2017-05-12 19:00;1007.32000732;14.22999954;86.55000305
2017-05-12 19:15;1007.54998779;14;88.06999969
2017-05-12 19:30;1007.7800293;13.89999962;88.62999725
2017-05-12 19:45;1007.7800293;13.75;89.62999725
2017-05-12 20:00;1007.84997559;13.57999992;90.65000153
2017-05-12 20:15;1007.84997559;13.47999954;91.12000275
2017-05-12 20:30;1007.84997559;13.32999992;92.26999664
2017-05-12 20:45;1007.7800293;13.07999992;93.52999878
2017-05-12 21:00;1007.54998779;12.86999989;94.41999817
2017-05-12 21:15;1007.54998779;12.86999989;94.59999847
2017-05-12 21:30;1007.61999512;12.85000038;94.41999817
2017-05-12 21:45;1007.54998779;12.60000038;94.87999725
2017-05-12 22:00;1007.61999512;12.64999962;94.94999695
2017-05-12 22:15;1007.32000732;12.60000038;94.76999664
2017-05-12 22:30;1007.47998047;12.60000038;94.87999725
2017-05-12 22:45;1007.47998047;12.57999992;94.40000153
2017-05-12 23:00;1007.54998779;12.60000038;94.02999878
2017-05-12 23:15;1007.47998047;12.57999992;94.19999695
