Time_t;theoretical;Time_o;observed
2017-05-30 03:45;3.62566144598258;2017-05-24 01:44;1.690705
2017-05-30 04:00;3.66653962872692;2017-05-24 01:54;1.673241
2017-05-30 04:15;3.90644258788025;2017-05-24 02:04;1.65265
2017-05-30 04:30;3.85401854318508;2017-05-24 02:14;1.488513
2017-05-30 04:45;3.9698489255346;2017-05-24 02:24;1.511516
2017-05-30 05:00;3.96782655440015;2017-05-24 02:34;1.433161
2017-05-30 05:15;4.42458841348068;2017-05-24 02:44;1.49954
2017-05-30 05:30;4.302153462082;2017-05-24 02:54;1.381866
2017-05-30 05:45;4.13137544066891;2017-05-24 03:04;1.070438
2017-05-30 06:00;3.96048153516011;2017-05-24 03:13;1.318451
2017-05-30 06:15;3.57612289401824;2017-05-24 03:23;1.075313
2017-05-30 06:30;3.76061121839109;2017-05-24 03:33;1.105538
2017-05-30 06:45;4.03796237729094;2017-05-24 03:43;1.182233
2017-05-30 07:00;4.69351417894433;2017-05-24 03:53;1.150067
2017-05-30 07:15;3.66562882193153;2017-05-24 04:03;1.1207
2017-05-30 07:30;4.12116774889135;2017-05-24 04:13;1.147558
2017-05-30 07:45;3.49862774735546;2017-05-24 04:23;1.257282
2017-05-30 08:00;2.39349698227228;2017-05-24 04:33;1.277711
2017-05-30 08:15;2.30350693757244;2017-05-24 04:43;1.323736
2017-05-30 08:30;2.5361936730496;2017-05-24 04:53;1.373573
2017-05-30 08:45;3.00575345425884;2017-05-24 05:03;1.492718
2017-05-30 09:00;2.57974558915504;2017-05-24 05:13;1.398611
2017-05-30 09:15;2.57023236059364;2017-05-24 05:23;1.463916
2017-05-30 09:30;2.6365891368509;2017-05-24 05:33;1.473081
2017-05-30 09:45;3.73220749223604;2017-05-24 05:42;1.540584
2017-05-30 10:00;3.36184706049325;2017-05-24 05:52;1.544777
2017-05-30 10:15;3.67423902975197;2017-05-24 06:02;1.420945
2017-05-30 10:30;3.38426161879714;2017-05-24 06:12;1.542255
2017-05-30 10:45;2.84128551274175;2017-05-24 06:22;1.721598
2017-05-30 11:00;2.46527664110843;2017-05-24 06:32;1.567991
2017-05-30 11:15;3.47877370313486;2017-05-24 06:42;1.658107
2017-05-30 11:30;2.48454084908842;2017-05-24 06:52;0.882758
2017-05-30 11:45;2.04306749071893;2017-05-24 07:02;1.508886
2017-05-30 12:00;2.35449092694007;2017-05-24 07:12;1.379956
2017-05-30 12:15;1.84761069643505;2017-05-24 07:22;1.119965
2017-05-30 12:30;1.7147833538254;2017-05-24 07:32;0.951801
2017-05-30 12:45;2.85448006472326;2017-05-24 07:42;1.14478
2017-05-30 13:00;2.05044543670088;2017-05-24 07:52;1.015551
2017-05-30 13:15;1.67743344359495;2017-05-24 08:02;1.573819
2017-05-30 13:30;1.85772798175632;2017-05-24 08:12;1.756597
2017-05-30 13:45;2.76406207923113;2017-05-24 08:22;2.021688
2017-05-30 14:00;2.02019366038491;2017-05-24 08:32;2.08965
2017-05-30 14:15;3.38598284316922;2017-05-24 08:42;1.882698
2017-05-30 14:30;4.86059789931883;2017-05-24 08:52;1.541277
2017-05-30 14:45;6.37922400056969;2017-05-24 09:01;1.669615
2017-05-30 15:00;6.6938451176157;2017-05-24 09:11;1.682048
2017-05-30 15:15;6.41861583052426;2017-05-24 09:21;1.311254
2017-05-30 15:30;5.88691404658849;2017-05-24 09:31;1.523593
2017-05-30 15:45;5.03916429064726;2017-05-24 09:41;1.655486
2017-05-30 16:00;4.04717130903203;2017-05-24 09:51;1.496657
2017-05-30 16:15;3.60284991426971;2017-05-24 10:01;1.487419
2017-05-30 16:30;3.30791856199393;2017-05-24 10:11;1.552
2017-05-30 16:45;4.55748956127525;2017-05-24 10:21;1.514539
2017-05-30 17:00;4.94395351829129;2017-05-24 10:31;1.729246
2017-05-30 17:15;5.03065049513322;2017-05-24 10:41;1.572072
2017-05-30 17:30;4.734643599999;2017-05-24 10:51;1.514396
2017-05-30 17:45;5.19820800067952;2017-05-24 11:01;1.631274
2017-05-30 18:00;5.28637968122034;2017-05-24 11:11;1.849112
2017-05-30 18:15;5.42637470078864;2017-05-24 11:21;1.765401
2017-05-30 18:30;5.28011286778924;2017-05-24 11:30;1.649309
2017-05-30 18:45;5.50427839037087;2017-05-24 11:40;1.307425
2017-05-30 19:00;5.46988381601597;2017-05-24 11:50;1.366004
2017-05-30 19:15;5.52782314991369;2017-05-24 12:00;1.289767
2017-05-30 19:30;5.55009460328114;2017-05-24 12:10;1.147045
2017-05-30 19:45;5.47598084371062;2017-05-24 12:20;0.813936
2017-05-30 20:00;5.43906279453933;2017-05-24 12:30;1.170156
2017-05-30 20:15;5.31960903311236;2017-05-24 12:40;1.187593
2017-05-30 20:30;5.26321615470209;2017-05-24 12:50;1.015206
2017-05-30 20:45;5.07097888728494;2017-05-24 13:00;1.367013
2017-05-30 21:00;4.84999158804331;2017-05-24 13:10;1.427756
2017-05-30 21:15;4.69019841214828;2017-05-24 13:20;1.380961
2017-05-30 21:30;5.15085409506187;2017-05-24 13:30;1.755571
2017-05-30 21:45;5.07175387351706;2017-05-24 13:40;1.602968
2017-05-30 22:00;4.78038406380313;2017-05-24 13:50;1.566973
2017-05-30 22:15;4.87693047558869;2017-05-24 13:59;1.550179
2017-05-30 22:30;5.12366928229137;2017-05-24 14:09;1.468926
2017-05-30 22:45;5.19241881320281;2017-05-24 14:19;1.083124
2017-05-30 23:00;5.44169946846485;2017-05-24 14:29;1.229547
2017-05-30 23:15;5.43138560518561;2017-05-24 14:39;1.596434
2017-05-30 23:30;4.54831743244947;2017-05-24 14:49;1.099042
2017-05-30 23:45;4.27054340683065;2017-05-24 14:59;1.314849
2017-05-31 00:00;4.16363616321895;2017-05-24 15:09;1.001666
2017-05-31 00:15;4.26025633391303;2017-05-24 15:19;0.436118
2017-05-31 00:30;4.59220346184776;2017-05-24 15:29;0.725563
2017-05-31 00:45;4.60961673914123;2017-05-24 15:39;0.777165
2017-05-31 01:00;4.63999805943796;2017-05-24 15:49;0.473901
2017-05-31 01:15;4.60879630214225;2017-05-24 15:59;0.49262
2017-05-31 01:30;4.62382598309933;2017-05-24 16:09;0.673092
2017-05-31 01:45;4.59052690016456;2017-05-24 16:19;0.596379
2017-05-31 02:00;4.69448418445352;2017-05-24 16:28;0.505544
2017-05-31 02:15;4.73330794153562;2017-05-24 16:38;0.544697
2017-05-31 02:30;4.62879365690444;2017-05-24 16:48;0.832045
2017-05-31 02:45;4.76299684731412;2017-05-24 16:58;0.426602
2017-05-31 03:00;4.85917194965238;2017-05-24 17:08;0.648743
2017-05-31 03:15;4.88018763787058;2017-05-24 17:18;0.472207
2017-05-31 03:30;4.79456012101876;2017-05-24 17:28;0.298249
2017-05-31 03:45;4.90587694157497;2017-05-24 17:38;0.696488
2017-05-31 04:00;4.9769016585628;2017-05-24 17:48;0.620246
2017-05-31 04:15;5.06188775121915;2017-05-24 17:58;0.304224
2017-05-31 04:30;5.18578845031713;2017-05-24 18:08;0.419504
2017-05-31 04:45;5.24677529757994;2017-05-24 18:18;0.325854
2017-05-31 05:00;5.30278513659514;2017-05-24 18:28;-0.048434
2017-05-31 05:15;5.29054917469553;2017-05-24 18:38;-0.065166
2017-05-31 05:30;5.21668781170037;2017-05-24 18:48;0.269579
2017-05-31 05:45;5.17888863096235;2017-05-24 18:58;0.054889
2017-05-31 06:00;4.73382608368501;2017-05-24 19:08;0.19076
2017-05-31 06:15;4.75707001874573;2017-05-24 19:18;0.115786
2017-05-31 06:30;4.55281016051292;2017-05-24 19:28;0.044426
2017-05-31 06:45;4.55710894309936;2017-05-24 19:38;0.073883
2017-05-31 07:00;4.86740960868212;2017-05-24 19:48;0.241087
2017-05-31 07:15;5.13130931808302;2017-05-24 19:57;0.210274
2017-05-31 07:30;5.04120282335747;2017-05-24 20:07;0.12427
2017-05-31 07:45;4.87147667508538;2017-05-24 20:17;0.15072
2017-05-31 08:00;4.79285555354945;2017-05-24 20:27;0.213126
2017-05-31 08:15;5.12954174150156;2017-05-24 20:37;0.40049
2017-05-31 08:30;4.83253860464843;2017-05-24 20:47;0.293862
2017-05-31 08:45;4.61127250248069;2017-05-24 20:57;0.141873
2017-05-31 09:00;4.58775787959065;2017-05-24 21:07;0.198706
2017-05-31 09:15;4.65952155228976;2017-05-24 21:17;0.225521
2017-05-31 09:30;4.81163965728956;2017-05-24 21:27;0.435495
2017-05-31 09:45;4.27337079537998;2017-05-24 21:37;0.441613
2017-05-31 10:00;5.23772730916773;2017-05-24 21:47;0.218844
2017-05-31 10:15;5.42047565461186;2017-05-24 21:57;-0.074045
2017-05-31 10:30;4.98255007767334;2017-05-24 22:07;-0.079201
2017-05-31 10:45;5.02770874868155;2017-05-24 22:17;-0.254024
2017-05-31 11:00;3.90608419764378;2017-05-24 22:27;0.141882
2017-05-31 11:15;4.36737226844221;2017-05-24 22:37;-0.209454
2017-05-31 11:30;4.15003888805322;2017-05-24 22:47;-0.248405
2017-05-31 11:45;3.80681473096679;2017-05-24 22:57;-0.024752
2017-05-31 12:00;3.70357993867987;2017-05-24 23:06;0.125962
2017-05-31 12:15;3.89299772494209;2017-05-24 23:16;0.202439
2017-05-31 12:30;4.05535153890256;2017-05-24 23:26;-0.178023
2017-05-31 12:45;3.69822996297214;2017-05-24 23:37;0.168322
2017-05-31 13:00;3.27989340651676;2017-05-24 23:47;0.025999
2017-05-31 13:15;2.72308381440411;2017-05-24 23:57;-0.058575
2017-05-31 13:30;3.17069207157174;2017-05-25 00:07;0.459864
2017-05-31 13:45;2.87101489294584;2017-05-25 00:17;0.496845
2017-05-31 14:00;3.24065262743181;2017-05-25 00:27;0.634482
2017-05-31 14:15;2.40856414297574;2017-05-25 00:37;0.342313
2017-05-31 14:30;2.50519582783105;2017-05-25 00:47;0.5061
2017-05-31 14:45;2.76654918641183;2017-05-25 00:57;1.045392
2017-05-31 15:00;2.91747689621293;2017-05-25 01:07;0.954679
2017-05-31 15:15;2.44417574161274;2017-05-25 01:17;1.110965
2017-05-31 15:30;2.65702941787051;2017-05-25 01:27;1.046364
2017-05-31 15:45;1.90824838646894;2017-05-25 01:37;1.091331
2017-05-31 16:00;2.22007291152202;2017-05-25 01:47;1.24596
2017-05-31 16:15;1.66514174729833;2017-05-25 01:56;1.423022
2017-05-31 16:30;1.92980954953572;2017-05-25 02:06;1.633835
2017-05-31 16:45;1.81747722626502;2017-05-25 02:16;1.725025
2017-05-31 17:00;1.96213255410687;2017-05-25 02:26;1.916822
2017-05-31 17:15;2.1120985346981;2017-05-25 02:36;1.902893
2017-05-31 17:30;1.66092093752265;2017-05-25 02:46;1.862618
2017-05-31 17:45;1.84609970486224;2017-05-25 02:56;1.968443
2017-05-31 18:00;1.86626915089267;2017-05-25 03:06;1.915327
2017-05-31 18:15;1.33076605484287;2017-05-25 03:16;1.631726
2017-05-31 18:30;1.31527148615152;2017-05-25 03:26;1.882881
2017-05-31 18:45;1.8461372707547;2017-05-25 03:35;1.805084
2017-05-31 19:00;1.82315012368903;2017-05-25 03:45;1.874683
2017-05-31 19:15;2.20015287649505;2017-05-25 03:55;1.878711
2017-05-31 19:30;2.53213635017637;2017-05-25 04:05;1.597159
2017-05-31 19:45;2.36374177655569;2017-05-25 04:15;2.254971
2017-05-31 20:00;2.69270156142596;2017-05-25 04:25;1.981906
2017-05-31 20:15;2.9775878445833;2017-05-25 04:35;1.820353
2017-05-31 20:30;3.06847720315823;2017-05-25 04:45;1.942872
